"","Comparison","diff","lwr","upr","p adj"
"1","30:L-27:L",-0.052920822,-0.11055540357422,0.0047137595742201,0.0723536318329162
"2","27:R-27:L",0.229211797666667,0.171577216092446,0.286846379240887,6.43238901421039e-06
"3","30:R-27:L",0.169054549666667,0.111419968092446,0.226689131240887,6.28285602668477e-05
"4","27:R-30:L",0.282132619666667,0.224498038092447,0.339767201240887,1.3244145401492e-06
"5","30:R-30:L",0.221975371666667,0.164340790092446,0.279609953240887,8.19450686628809e-06
"6","30:R-27:R",-0.0601572480000001,-0.11779182957422,-0.00252266642577991,0.0410706976929648
