"Temperature","Iron","Mean_GR","sd","LetterBoth","Strain"
"27","R",0.329030132333333,0.0150687997967488,"a","XM-24"
"27","R",0.326319157333333,0.0190228102709004,"a","YX04-1"
"30","R",0.268872884333333,0.0086628170080635,"b","XM-24"
"30","R",0.203113793666667,0.0246390641149623,"c","YX04-1"
"27","L",0.172153946666667,0.0121976271638047,"cd","YX04-1"
"30","L",0.138983106333333,0.00490555654350782,"de","YX04-1"
"27","L",0.0998183346666667,0.0397627784544544,"ef","XM-24"
"30","L",0.0468975126666667,0.00776436172980486,"f","XM-24"
