"","Comparison","diff","lwr","upr","p adj"
"1","30:L-27:L",-0.0331708403333333,-0.0773470006099033,0.0110053199432366,0.153424534190763
"2","27:R-27:L",0.154165210666667,0.109989050390097,0.198341370943237,1.7232311407267e-05
"3","30:R-27:L",0.030959847,-0.01321631327657,0.0751360072765699,0.19101974636972
"4","27:R-30:L",0.187336051,0.14315989072343,0.23151221127657,3.96311242878422e-06
"5","30:R-30:L",0.0641306873333333,0.0199545270567634,0.108306847609903,0.00715066279989995
"6","30:R-27:R",-0.123205363666667,-0.167381523943237,-0.0790292033900968,9.09010628084017e-05
