"KO","STN","Pvalue","27R1","27R2","27R3","30R1","30R2","30R3","Query_ID","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27R1_log","27R2_log","27R3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K02699",1.54070734718206,0.00742320261437901,0,19.445,0,15.397,15.719,11.046,"LKDHAOIP_02281","Photosystem I reaction center subunit XI","MULTISPECIES: photosystem I reaction center protein subunit XI","","","GO:0015979;GO:0009538;GO:0009522","photosynthesis;photosystem I reaction center;photosystem I","photosystem I subunit XI",0,4.35367615775164,0,4.03535997796045,4.06341665413717,3.59048225892091,6.48166666666667,14.054,1.45122538591721,3.89641963033951,2.4451942444223,2.12940868533094,"Upregulated"
"K02954",1.43875400270847,0.00961764705882362,0,0,21.986,0,20.086,22.092,"LKDHAOIP_01221","30S ribosomal protein S14","MULTISPECIES: 30S ribosomal protein S14","30S ribosomal protein S14","rpsN","GO:0006412;GO:0003735;GO:0019843;GO:0005737;GO:0005840;GO:1990904","translation;structural constituent of ribosome;rRNA binding;cytoplasm;ribosome;ribonucleoprotein complex","small subunit ribosomal protein S14",0,0,4.52268352648295,0,4.39821353769628,4.5293212253457,7.32866666666667,14.0593333333333,1.50756117549432,2.97584492101399,1.46828374551968,2.01693116438196,"Upregulated"
"K18886",-1.79203329685717,0.00381045751633987,12.718,10.803,13.192,5.7738,8.733,0,"LKDHAOIP_00086","hypothetical protein","class I SAM-dependent methyltransferase","","","GO:0008168","methyltransferase activity","gibberellin A4 carboxyl methyltransferase ",3.77799825566867,3.56108169473173,3.82700600963898,2.75996539113267,3.28288455506105,0,12.2376666666667,4.8356,3.72202865334646,2.0142833153979,-1.70774533794855,2.41902287605858,"Downregulated"
"LKDHAOIP_00261",-1.4649098539538,0.0090702614379085,9.5384,11.883,8.7944,5.7738,6.9864,0,"LKDHAOIP_00261","hypothetical protein","Hypothetical protein SynA1528_00095","","","","","hypothetical protein",3.39758394029825,3.68739668066549,3.29195711642981,2.75996539113267,2.99754533137048,0,10.0719333333333,4.2534,3.45897924579785,1.91917024083438,-1.53980900496347,2.0423801948137,"Downregulated"
