"Temperature","Iron","Mean_FeP","sd","LetterBoth","Strain"
"27","R",20.172225005,1.57955405706304,"a","XM-24"
"30","R",11.0928713073333,0.99439067456253,"b","XM-24"
"27","L",9.00398211533333,0.906675775233927,"bc","XM-24"
"30","L",7.41764411033333,2.02189058734942,"c","XM-24"
"27","R",6.23546323833333,0.294107918582939,"cd","YX04-1"
"30","R",6.09337907033333,0.695136374005497,"cd","YX04-1"
"30","L",4.23665814466667,0.663459438922737,"de","YX04-1"
"27","L",2.67060160666667,0.20670331464679,"e","YX04-1"
