Sample,Temperature,Iron
27L1,27,1
27L2,27,1
27L3,27,1
30L1,30,1
30L2,30,1
30L3,30,1
27R1,27,0
27R2,27,0
27R3,27,0
30R1,30,0
30R2,30,0
30R3,30,0
